Enrollment ID, Student ID, Assignment ID, Enrollment Data
enr0000000,st6700004,asg0000045,2026-04-30
enr0000001,st6500009,asg0000006,2026-04-30
enr0000002,st6500016,asg0000153,2026-04-30
enr0000003,st6500021,asg0000171,2026-04-30
enr0000004,st6700026,asg0000076,2026-04-30
enr0000005,st6700031,asg0000126,2026-04-30
enr0000006,st6500050,asg0000159,2026-04-30
enr0000007,st6700051,asg0000154,2026-04-30
enr0000008,st6500054,asg0000091,2026-04-30
enr0000009,st6500057,asg0000189,2026-04-30
enr0000010,st6600058,asg0000181,2026-04-30
enr0000011,st6600066,asg0000095,2026-04-30
enr0000012,st6600071,asg0000113,2026-04-30
enr0000013,st6500096,asg0000130,2026-04-30
enr0000014,st6600102,asg0000222,2026-04-30
enr0000015,st6600103,asg0000162,2026-04-30
enr0000016,st6600106,asg0000058,2026-04-30
enr0000017,st6600107,asg0000064,2026-04-30
enr0000018,st6500109,asg0000125,2026-04-30
enr0000019,st6600115,asg0000126,2026-04-30
enr0000020,st6600129,asg0000069,2026-04-30
enr0000021,st6700131,asg0000180,2026-04-30
enr0000022,st6500133,asg0000113,2026-04-30
enr0000023,st6600147,asg0000194,2026-04-30
enr0000024,st6700152,asg0000077,2026-04-30
enr0000025,st6700158,asg0000197,2026-04-30
enr0000026,st6500159,asg0000140,2026-04-30
enr0000027,st6500161,asg0000025,2026-04-30
enr0000028,st6600162,asg0000104,2026-04-30
enr0000029,st6600171,asg0000033,2026-04-30
enr0000030,st6700184,asg0000219,2026-04-30
enr0000031,st6500185,asg0000126,2026-04-30
enr0000032,st6600188,asg0000056,2026-04-30
enr0000033,st6600189,asg0000087,2026-04-30
enr0000034,st6600192,asg0000182,2026-04-30
enr0000035,st6700197,asg0000095,2026-04-30
enr0000036,st6700200,asg0000193,2026-04-30
enr0000037,st6700227,asg0000203,2026-04-30
enr0000038,st6600232,asg0000021,2026-04-30
enr0000039,st6500236,asg0000223,2026-04-30
enr0000040,st6600239,asg0000078,2026-04-30
enr0000041,st6700247,asg0000180,2026-04-30
enr0000042,st6500252,asg0000043,2026-04-30
enr0000043,st6500257,asg0000042,2026-04-30
enr0000044,st6700263,asg0000125,2026-04-30
enr0000045,st6500264,asg0000075,2026-04-30
enr0000046,st6700268,asg0000175,2026-04-30
enr0000047,st6700286,asg0000002,2026-04-30
enr0000048,st6500289,asg0000167,2026-04-30
enr0000049,st6600295,asg0000060,2026-04-30
enr0000050,st6600299,asg0000153,2026-04-30
enr0000051,st6700316,asg0000160,2026-04-30
enr0000052,st6600326,asg0000189,2026-04-30
enr0000053,st6700336,asg0000180,2026-04-30
enr0000054,st6500337,asg0000181,2026-04-30
enr0000055,st6600341,asg0000005,2026-04-30
enr0000056,st6600355,asg0000110,2026-04-30
enr0000057,st6500369,asg0000090,2026-04-30
enr0000058,st6600370,asg0000003,2026-04-30
enr0000059,st6700373,asg0000174,2026-04-30
enr0000060,st6500380,asg0000198,2026-04-30
enr0000061,st6600381,asg0000064,2026-04-30
enr0000062,st6700397,asg0000101,2026-04-30
enr0000063,st6700398,asg0000130,2026-04-30
enr0000064,st6500405,asg0000081,2026-04-30
enr0000065,st6500406,asg0000087,2026-04-30
enr0000066,st6500409,asg0000171,2026-04-30
enr0000067,st6500414,asg0000093,2026-04-30
enr0000068,st6600424,asg0000146,2026-04-30
enr0000069,st6500425,asg0000033,2026-04-30
enr0000070,st6500438,asg0000044,2026-04-30
enr0000071,st6500441,asg0000025,2026-04-30
enr0000072,st6500460,asg0000191,2026-04-30
enr0000073,st6500465,asg0000066,2026-04-30
enr0000074,st6600472,asg0000177,2026-04-30
enr0000075,st6600485,asg0000034,2026-04-30
enr0000076,st6500490,asg0000171,2026-04-30
enr0000077,st6600491,asg0000190,2026-04-30
enr0000078,st6700495,asg0000046,2026-04-30
enr0000079,st6600496,asg0000130,2026-04-30
enr0000080,st6500498,asg0000011,2026-04-30
enr0000081,st6700001,asg0000057,2026-05-01
enr0000082,st6700010,asg0000163,2026-05-01
enr0000083,st6500032,asg0000103,2026-05-01
enr0000084,st6500038,asg0000160,2026-05-01
enr0000085,st6700042,asg0000173,2026-05-01
enr0000086,st6700044,asg0000167,2026-05-01
enr0000087,st6600053,asg0000203,2026-05-01
enr0000088,st6500056,asg0000002,2026-05-01
enr0000089,st6700059,asg0000157,2026-05-01
enr0000090,st6500062,asg0000094,2026-05-01
enr0000091,st6600068,asg0000198,2026-05-01
enr0000092,st6700075,asg0000216,2026-05-01
enr0000093,st6500079,asg0000153,2026-05-01
enr0000094,st6500080,asg0000021,2026-05-01
enr0000095,st6500091,asg0000194,2026-05-01
enr0000096,st6700100,asg0000206,2026-05-01
enr0000097,st6600104,asg0000003,2026-05-01
enr0000098,st6600105,asg0000162,2026-05-01
enr0000099,st6700108,asg0000154,2026-05-01
enr0000100,st6700125,asg0000164,2026-05-01
enr0000101,st6600132,asg0000051,2026-05-01
enr0000102,st6600136,asg0000117,2026-05-01
enr0000103,st6500137,asg0000058,2026-05-01
enr0000104,st6700142,asg0000004,2026-05-01
enr0000105,st6500150,asg0000073,2026-05-01
enr0000106,st6500156,asg0000074,2026-05-01
enr0000107,st6600163,asg0000014,2026-05-01
