Assignment ID,Course ID,Instructor ID,Shift
asg0000000,crs00000,ins00000,Mon-2
asg0000001,crs00000,ins00000,Tue-0
asg0000002,crs00002,ins00000,Tue-2
asg0000003,crs00000,ins00000,Wed-0
asg0000004,crs00002,ins00000,Wed-1
asg0000005,crs00002,ins00000,Thu-0
asg0000006,crs00002,ins00000,Thu-2
asg0000007,crs00002,ins00000,Fri-3
asg0000008,crs00000,ins00000,Sat-1
asg0000009,crs00002,ins00000,Sat-3
asg0000010,crs00000,ins00001,Mon-2
asg0000011,crs00002,ins00001,Mon-3
asg0000012,crs00000,ins00001,Tue-2
asg0000013,crs00000,ins00001,Wed-0
asg0000014,crs00002,ins00001,Wed-2
asg0000015,crs00000,ins00001,Thu-1
asg0000016,crs00000,ins00001,Thu-2
asg0000017,crs00000,ins00001,Sat-1
asg0000018,crs00002,ins00001,Sat-2
asg0000019,crs00000,ins00002,Mon-0
asg0000020,crs00002,ins00002,Mon-2
asg0000021,crs00002,ins00002,Tue-1
asg0000022,crs00000,ins00002,Tue-3
asg0000023,crs00000,ins00002,Wed-0
asg0000024,crs00002,ins00002,Wed-3
asg0000025,crs00000,ins00002,Thu-0
asg0000026,crs00002,ins00002,Thu-3
asg0000027,crs00002,ins00002,Fri-0
asg0000028,crs00000,ins00002,Fri-2
asg0000029,crs00002,ins00002,Sat-1
asg0000030,crs00000,ins00003,Mon-1
asg0000031,crs00000,ins00003,Mon-3
asg0000032,crs00000,ins00003,Wed-2
asg0000033,crs00002,ins00003,Thu-2
asg0000034,crs00000,ins00003,Fri-0
asg0000035,crs00000,ins00003,Sat-3
asg0000036,crs00013,ins00004,Mon-1
asg0000037,crs00013,ins00004,Mon-2
asg0000038,crs00013,ins00004,Tue-1
asg0000039,crs00013,ins00004,Tue-2
asg0000040,crs00013,ins00004,Wed-0
asg0000041,crs00001,ins00004,Wed-3
asg0000042,crs00001,ins00004,Thu-2
asg0000043,crs00001,ins00004,Fri-3
asg0000044,crs00001,ins00004,Sat-1
asg0000045,crs00013,ins00005,Mon-0
asg0000046,crs00001,ins00005,Mon-1
asg0000047,crs00001,ins00005,Tue-0
asg0000048,crs00013,ins00005,Tue-3
asg0000049,crs00001,ins00005,Wed-2
asg0000050,crs00013,ins00005,Wed-3
