lecture_id,course_id,title,content
crs000_lec00,crs00000,introduction to probability,basic concepts of probability theory and its applications.
crs000_lec01,crs00000,random variables,understanding discrete and continuous random variables.
crs000_lec02,crs00000,probability distributions,overview of normal  binomial  and poisson distributions.
crs000_lec03,crs00000,expectation and variance,calculating mean and spread in statistical data.
crs000_lec04,crs00000,sampling distributions,properties of statistics computed from random samples.
crs000_lec05,crs00000,central limit theorem,why the normal distribution is central to statistics.
crs000_lec06,crs00000,estimation theory,point and interval estimation for population parameters.
crs000_lec07,crs00000,hypothesis testing,logic and methods for testing statistical claims.
crs000_lec08,crs00000,confidence intervals,how to construct and interpret statistical intervals.
crs000_lec09,crs00000,regression analysis,modeling relationships between variables using statistics.
crs001_lec00,crs00001,intro to machine learning,basic definitions and the machine learning pipeline.
crs001_lec01,crs00001,linear regression,modeling continuous outcomes with simple linear equations.
crs001_lec02,crs00001,logistic regression,classification techniques for binary outcome variables.
crs001_lec03,crs00001,decision trees,building hierarchical models for data classification.
crs001_lec04,crs00001,random forests,using ensembles of trees to improve prediction accuracy.
crs001_lec05,crs00001,support vector machines,finding optimal hyperplanes for data separation.
crs001_lec06,crs00001,k-nearest neighbors,simple instance-based learning for classification tasks.
crs001_lec07,crs00001,neural networks,introduction to biological-inspired computing models.
crs001_lec08,crs00001,clustering basics,unsupervised learning methods like k-means clustering.
crs001_lec09,crs00001,model evaluation,using metrics like accuracy and f1-score to test models.
crs002_lec00,crs00002,logic and proofs,fundamental principles of mathematical logic and proof techniques.
crs002_lec01,crs00002,set theory,understanding sets  subsets  and operations on sets.
crs002_lec02,crs00002,functions and relations,mapping elements between sets and their properties.
crs002_lec03,crs00002,algorithms and complexity,basics of algorithmic efficiency and big o notation.
crs002_lec04,crs00002,number theory,study of integers and their mathematical properties.
crs002_lec05,crs00002,mathematical induction,proving statements for all natural numbers.
crs002_lec06,crs00002,counting and combinatorics,methods for counting arrangements and selections.
crs002_lec07,crs00002,discrete probability,applying probability to finite sample spaces.
crs002_lec08,crs00002,graph theory,basics of nodes  edges  and graph connectivity.
crs002_lec09,crs00002,trees in discrete math,properties and applications of tree structures.
crs003_lec00,crs00003,intro to network security,overview of threats and defense mechanisms in networks.
crs003_lec01,crs00003,cryptography basics,fundamentals of encryption and decryption algorithms.
crs003_lec02,crs00003,authentication protocols,verifying identities in digital communication systems.
crs003_lec03,crs00003,firewalls and vpns,securing network perimeters and private connections.
crs003_lec04,crs00003,intrusion detection,identifying and responding to unauthorized network access.
crs003_lec05,crs00003,wireless security,securing wifi networks from eavesdropping and attacks.
crs003_lec06,crs00003,malware analysis,understanding viruses  worms  and trojan horses.
crs003_lec07,crs00003,web security,protecting websites from sql injection and xss.
crs003_lec08,crs00003,network forensics,analyzing network traffic for evidence of attacks.
crs003_lec09,crs00003,security policies,creating rules and guidelines for organizational security.
crs004_lec00,crs00004,programming basics,introduction to variables  types  and basic syntax.
crs004_lec01,crs00004,control flow,using if-statements and loops to control execution.
crs004_lec02,crs00004,functions and scope,modularizing code into reusable functional blocks.
crs004_lec03,crs00004,data structures intro,overview of lists  arrays  and basic collections.
crs004_lec04,crs00004,input and output,handling user input and displaying results.
crs004_lec05,crs00004,error handling,managing exceptions and debugging program crashes.
crs004_lec06,crs00004,file handling,reading from and writing to local files.
crs004_lec07,crs00004,recursion,concept of functions calling themselves to solve problems.
crs004_lec08,crs00004,object oriented intro,basics of classes and objects in programming.
crs004_lec09,crs00004,project structure,best practices for organizing small software projects.
crs005_lec00,crs00005,intro to databases,understanding data storage and management systems.
crs005_lec01,crs00005,relational model,basics of tables  rows  and primary keys.
crs005_lec02,crs00005,sql basics,writing simple select queries to retrieve data.
crs005_lec03,crs00005,data normalization,organizing data to reduce redundancy and errors.
crs005_lec04,crs00005,advanced sql,using joins and subqueries for complex data.
crs005_lec05,crs00005,database design,creating entity relationship diagrams for systems.
crs005_lec06,crs00005,transactions,ensuring data integrity with commit and rollback.
crs005_lec07,crs00005,indexing and performance,speeding up queries with efficient indexing.
crs005_lec08,crs00005,nosql intro,overview of non-relational database architectures.
crs005_lec09,crs00005,database security,managing user permissions and data encryption.
crs006_lec00,crs00006,monetary system,overview of money and its role in economics.
crs006_lec01,crs00006,central banking,functions and goals of central bank institutions.
crs006_lec02,crs00006,interest rates,how interest rates are determined and their impact.
crs006_lec03,crs00006,monetary policy,tools used by banks to control money supply.
crs006_lec04,crs00006,financial markets,introduction to bond and stock market dynamics.
crs006_lec05,crs00006,inflation and deflation,causes and consequences of price level changes.
crs006_lec06,crs00006,exchange rates,mechanisms of currency valuation in global markets.
crs006_lec07,crs00006,financial crises,history and causes of major economic downturns.
crs006_lec08,crs00006,banking regulation,rules for maintaining stability in financial systems.
crs006_lec09,crs00006,digital currency,impact of cryptocurrencies on modern finance.
crs007_lec00,crs00007,macroeconomic indicators,measuring gdp  inflation  and unemployment rates.
crs007_lec01,crs00007,aggregate demand,understanding total spending in the national economy.
crs007_lec02,crs00007,aggregate supply,factors affecting total production of goods/services.
crs007_lec03,crs00007,fiscal policy,government spending and taxation to influence growth.
crs007_lec04,crs00007,economic growth,long-term trends in national productive capacity.
crs007_lec05,crs00007,business cycles,patterns of expansion and contraction in economies.
crs007_lec06,crs00007,international trade,benefits and barriers to global commodity exchange.
crs007_lec07,crs00007,balance of payments,tracking a nation's transactions with the world.
crs007_lec08,crs00007,income distribution,analyzing wealth inequality within macro systems.
crs007_lec09,crs00007,globalization,impact of integrated markets on national economies.
crs008_lec00,crs00008,supply and demand,basic model of price determination in markets.
crs008_lec01,crs00008,consumer behavior,how individuals make choices to maximize utility.
crs008_lec02,crs00008,elasticity,measuring responsiveness of demand to price changes.
